N,P,K,temperature,humidity,ph,rainfall,crop
74.98,58.52,51.96,28.98,73.12,5.73,155.81,rice
94.65,48.03,51.24,20.31,89.4,6.75,171.23,rice
67.27,35.5,39.13,27.87,78.64,5.94,211.19,rice
65.58,38.76,40.99,26.84,85.7,5.8,201.42,rice
83.7,31.39,48.23,22.56,71.3,6.92,246.56,rice
92.34,39.14,32.93,30.26,78.8,5.68,199.52,rice
61.38,57.28,37.76,29.94,76.23,6.28,204.67,rice
67.39,59.09,53.25,34.09,87.9,6.4,242.19,rice
63.54,35.88,31.36,24.88,77.77,5.91,232.87,rice
74.27,38.43,46.28,22.11,86.04,5.61,248.69,rice
90.89,35.96,30.17,32.23,84.14,6.59,227.13,rice
62.96,40.75,33.48,32.95,82.47,6.0,156.36,rice
72.44,39.76,51.89,29.56,87.74,6.21,161.96,rice
88.53,52.82,46.84,31.56,79.88,6.28,192.75,rice
61.02,33.24,30.94,29.55,76.29,6.26,240.76,rice
69.97,42.31,52.67,23.43,71.54,5.93,166.12,rice
97.19,54.24,49.0,33.07,86.07,5.78,239.26,rice
81.57,54.22,56.88,24.77,72.2,5.84,192.71,rice
92.72,55.82,30.21,27.66,78.35,5.83,161.99,rice
73.5,58.29,39.7,27.78,84.06,6.05,247.18,rice
98.5,37.55,44.92,24.51,75.7,5.56,210.96,rice
80.11,31.54,38.36,33.62,74.79,5.72,198.95,rice
99.43,37.26,50.16,31.42,74.75,6.59,186.78,rice
85.29,49.01,46.07,21.35,86.71,5.98,168.65,rice
61.63,47.73,50.33,20.25,80.24,5.84,214.52,rice
66.97,50.73,41.6,34.05,72.75,6.01,161.35,rice
96.99,56.32,37.74,29.9,86.34,6.33,202.97,rice
69.67,32.79,56.92,33.51,82.66,6.01,184.92,rice
89.04,56.91,56.61,31.7,82.84,5.63,166.16,rice
95.94,48.19,30.28,21.52,83.27,5.51,166.08,rice
81.95,50.76,49.56,23.36,84.24,5.86,182.54,rice
89.86,49.49,55.48,29.86,81.37,5.64,186.77,rice
70.61,37.32,59.19,25.9,87.84,6.45,229.48,rice
80.11,47.31,44.78,22.93,84.45,5.92,152.43,rice
85.82,35.31,58.21,34.31,88.3,6.06,151.55,rice
97.13,42.85,59.0,34.45,87.06,5.94,188.51,rice
94.05,39.51,35.08,28.35,88.72,6.54,207.01,rice
63.89,48.45,59.7,22.1,80.37,6.82,224.08,rice
87.88,51.07,40.78,24.4,86.19,6.72,236.71,rice
96.53,45.34,45.05,31.97,83.0,6.55,229.58,rice
95.6,40.14,41.27,21.41,81.57,5.55,196.56,rice
81.71,38.6,47.72,20.46,70.75,6.73,186.02,rice
65.08,45.67,53.1,23.24,82.46,5.63,155.17,rice
81.25,46.22,49.12,30.89,89.52,6.27,182.3,rice
91.81,38.12,43.17,21.18,70.51,6.94,233.6,rice
87.84,42.27,35.2,22.35,75.0,6.32,221.46,rice
86.41,38.4,58.65,31.07,81.09,6.42,191.96,rice
69.91,40.68,52.74,20.22,72.32,5.57,154.07,rice
94.22,51.11,44.23,21.47,79.83,6.21,167.32,rice
77.35,41.96,48.48,29.53,70.91,6.06,212.59,rice
80.13,55.69,23.17,19.47,56.41,6.57,91.59,maize
83.43,58.21,21.51,21.49,67.87,6.35,122.74,maize
97.66,41.58,29.22,26.15,58.92,5.88,96.05,maize
60.73,32.83,23.66,18.64,61.38,6.81,91.4,maize
92.58,38.46,12.36,24.27,67.58,6.85,134.1,maize
92.14,38.46,13.55,24.76,71.14,6.99,114.76,maize
74.88,53.29,16.82,26.38,72.17,6.31,135.05,maize
90.18,33.09,28.05,22.55,71.53,6.18,143.73,maize
75.57,30.33,28.11,18.82,61.39,6.94,147.04,maize
82.94,48.96,18.97,20.64,61.57,6.61,135.14,maize
91.66,53.69,11.82,22.45,56.15,6.46,116.49,maize
95.51,40.53,12.34,19.29,70.23,6.54,96.07,maize
63.36,51.03,11.46,25.4,69.12,5.9,95.09,maize
99.47,41.23,17.41,25.32,73.94,6.98,135.2,maize
75.05,32.51,25.54,23.03,63.48,6.89,96.67,maize
79.71,30.34,19.37,18.51,57.38,5.94,128.95,maize
89.84,47.5,29.24,21.37,60.71,6.84,103.42,maize
98.53,30.36,29.4,18.39,72.82,6.43,149.58,maize
62.95,46.62,29.39,22.71,67.59,6.63,117.27,maize
85.1,47.53,28.02,18.41,60.62,6.94,143.42,maize
78.23,48.6,15.55,19.69,64.27,6.22,125.02,maize
63.11,59.23,29.72,24.28,65.72,6.17,138.83,maize
87.39,34.88,28.22,25.4,74.0,6.67,126.8,maize
76.73,57.98,27.32,18.41,55.53,6.25,138.63,maize
99.49,34.51,21.88,21.43,74.4,6.81,140.3,maize
